Date/Time,Year,Month,snowfall
1843-01,1843,1,36.1
1843-02,1843,2,36.6
1843-03,1843,3,65.3
1843-04,1843,4,0.3
1843-05,1843,5,0
1843-06,1843,6,0
1843-07,1843,7,0
1843-08,1843,8,0
1843-09,1843,9,0
1843-10,1843,10,6.4
1843-11,1843,11,3
1843-12,1843,12,20.6
1844-01,1844,1,63.2
1844-02,1844,2,25.4
1844-03,1844,3,35.6
1844-04,1844,4,0
1844-05,1844,5,0
1844-06,1844,6,0
1844-07,1844,7,0
1844-08,1844,8,0
1844-09,1844,9,0
1844-10,1844,10,30.5
1844-11,1844,11,20.3
1844-12,1844,12,10.7
1845-01,1845,1,57.7
1845-02,1845,2,48.3
1845-03,1845,3,7.1
1845-04,1845,4,3.8
1845-05,1845,5,0
1845-06,1845,6,0
1845-07,1845,7,0
1845-08,1845,8,0
1845-09,1845,9,0
1845-10,1845,10,0
1845-11,1845,11,12.7
1845-12,1845,12,11.9
1846-01,1846,1,15.2
1846-02,1846,2,117.1
1846-03,1846,3,5.8
1846-04,1846,4,3.3
1846-05,1846,5,0
1846-06,1846,6,0
1846-07,1846,7,0
1846-08,1846,8,0
1846-09,1846,9,0
1846-10,1846,10,0
1846-11,1846,11,1
1846-12,1846,12,15.2
1847-01,1847,1,19.1
1847-02,1847,2,69.3
1847-03,1847,3,10.7
1847-04,1847,4,10.2
1847-05,1847,5,0
1847-06,1847,6,0
1847-07,1847,7,0
1847-08,1847,8,0
1847-09,1847,9,0
1847-10,1847,10,0
1847-11,1847,11,0
1847-12,1847,12,17.3
1848-01,1848,1,18
1848-02,1848,2,27.4
1848-03,1848,3,24.6
1848-04,1848,4,1.3
1848-05,1848,5,0
1848-06,1848,6,0
1848-07,1848,7,0
1848-08,1848,8,0
1848-09,1848,9,0
1848-10,1848,10,0
1848-11,1848,11,3.6
1848-12,1848,12,41.9
1849-01,1849,1,23.4
1849-02,1849,2,48.8
1849-03,1849,3,5.8
1849-04,1849,4,4.3
1849-05,1849,5,0
1849-06,1849,6,0
1849-07,1849,7,0
1849-08,1849,8,0
1849-09,1849,9,0
1849-10,1849,10,0
1849-11,1849,11,2.5
1849-12,1849,12,24.4
1850-01,1850,1,13.2
1850-02,1850,2,58.7
1850-03,1850,3,28.4
1850-04,1850,4,2.8
1850-05,1850,5,0
1850-06,1850,6,0
1850-07,1850,7,0
1850-08,1850,8,0
1850-09,1850,9,0
1850-10,1850,10,0
1850-11,1850,11,0
1850-12,1850,12,74.9
1851-01,1851,1,19.8
1851-02,1851,2,6.1
1851-03,1851,3,22.4
1851-04,1851,4,3
1851-05,1851,5,1.3
1851-06,1851,6,0
1851-07,1851,7,0
1851-08,1851,8,0
1851-09,1851,9,0
1851-10,1851,10,0.8
1851-11,1851,11,17
1851-12,1851,12,27.2
1852-01,1852,1,85.9
1852-02,1852,2,40.9
1852-03,1852,3,53.6
1852-04,1852,4,23.9
1852-05,1852,5,0
1852-06,1852,6,0
1852-07,1852,7,0
1852-08,1852,8,0
1852-09,1852,9,0
1852-10,1852,10,0
1852-11,1852,11,5.1
1852-12,1852,12,51.1
1853-01,1853,1,19.1
1853-02,1853,2,32
1853-03,1853,3,18
1853-04,1853,4,2.5
1853-05,1853,5,0
1853-06,1853,6,0
1853-07,1853,7,0
1853-08,1853,8,0
1853-09,1853,9,0
1853-10,1853,10,0
1853-11,1853,11,6.9
1853-12,1853,12,56.6
1854-01,1854,1,19.1
1854-02,1854,2,45.7
1854-03,1854,3,7.1
1854-04,1854,4,6.9
1854-05,1854,5,0
1854-06,1854,6,0
1854-07,1854,7,0
1854-08,1854,8,0
1854-09,1854,9,0
1854-10,1854,10,0
1854-11,1854,11,3.3
1854-12,1854,12,43.7
1855-01,1855,1,59.2
1855-02,1855,2,55.1
1855-03,1855,3,46
1855-04,1855,4,4.1
1855-05,1855,5,2.3
1855-06,1855,6,0
1855-07,1855,7,0
1855-08,1855,8,0
1855-09,1855,9,0
1855-10,1855,10,2
1855-11,1855,11,7.6
1855-12,1855,12,74.9
1856-01,1856,1,34.5
1856-02,1856,2,24.6
1856-03,1856,3,41.1
1856-04,1856,4,0.3
1856-05,1856,5,0
1856-06,1856,6,0
1856-07,1856,7,0
1856-08,1856,8,0
1856-09,1856,9,0
1856-10,1856,10,0.3
1856-11,1856,11,24.1
1856-12,1856,12,41.4
1857-01,1857,1,55.4
1857-02,1857,2,29.7
1857-03,1857,3,28.7
1857-04,1857,4,32.8
1857-05,1857,5,0
1857-06,1857,6,0
1857-07,1857,7,0
1857-08,1857,8,0
1857-09,1857,9,0
1857-10,1857,10,0.5
1857-11,1857,11,17.5
1857-12,1857,12,22.9
1858-01,1858,1,10.2
1858-02,1858,2,67.8
1858-03,1858,3,0.5
1858-04,1858,4,0.3
1858-05,1858,5,0
1858-06,1858,6,0
1858-07,1858,7,0
1858-08,1858,8,0
1858-09,1858,9,0
1858-10,1858,10,0
1858-11,1858,11,10.2
1858-12,1858,12,26.4
1859-01,1859,1,41.7
1859-02,1859,2,21.1
1859-03,1859,3,2.5
1859-04,1859,4,3
1859-05,1859,5,0
1859-06,1859,6,0
1859-07,1859,7,0
1859-08,1859,8,0
1859-09,1859,9,0
1859-10,1859,10,0
1859-11,1859,11,1.5
1859-12,1859,12,95
1860-01,1860,1,22.1
1860-02,1860,2,47.8
1860-03,1860,3,6.1
1860-04,1860,4,0.8
1860-05,1860,5,0
1860-06,1860,6,0
1860-07,1860,7,0
1860-08,1860,8,0
1860-09,1860,9,0
1860-10,1860,10,0
1860-11,1860,11,4.8
1860-12,1860,12,34.3
1861-01,1861,1,52.3
1861-02,1861,2,75.4
1861-03,1861,3,18
1861-04,1861,4,17.5
1861-05,1861,5,1.3
1861-06,1861,6,0
1861-07,1861,7,0
1861-08,1861,8,0
1861-09,1861,9,0
1861-10,1861,10,0
1861-11,1861,11,8.1
1861-12,1861,12,17.3
1862-01,1862,1,69.6
1862-02,1862,2,58.7
1862-03,1862,3,47
1862-04,1862,4,0.5
1862-05,1862,5,0
1862-06,1862,6,0
1862-07,1862,7,0
1862-08,1862,8,0
1862-09,1862,9,0
1862-10,1862,10,1.3
1862-11,1862,11,13.5
1862-12,1862,12,26.4
1863-01,1863,1,52.3
1863-02,1863,2,55.9
1863-03,1863,3,29
1863-04,1863,4,4.1
1863-05,1863,5,0.3
1863-06,1863,6,0
1863-07,1863,7,0
1863-08,1863,8,0
1863-09,1863,9,0
1863-10,1863,10,0
1863-11,1863,11,0.3
1863-12,1863,12,18
1864-01,1864,1,66.8
1864-02,1864,2,24.1
1864-03,1864,3,9.4
1864-04,1864,4,8.9
1864-05,1864,5,0
1864-06,1864,6,0
1864-07,1864,7,0
1864-08,1864,8,0
1864-09,1864,9,0
1864-10,1864,10,0
1864-11,1864,11,11.4
1864-12,1864,12,68.8
1865-01,1865,1,37.6
1865-02,1865,2,42.7
1865-03,1865,3,48
1865-04,1865,4,5.1
1865-05,1865,5,0
1865-06,1865,6,0
1865-07,1865,7,0
1865-08,1865,8,0
1865-09,1865,9,0
1865-10,1865,10,11.4
1865-11,1865,11,2.8
1865-12,1865,12,13.2
1866-01,1866,1,26.2
1866-02,1866,2,42.9
1866-03,1866,3,18.3
1866-04,1866,4,0
1866-05,1866,5,0
1866-06,1866,6,0
1866-07,1866,7,0
1866-08,1866,8,0
1866-09,1866,9,0
1866-10,1866,10,0
1866-11,1866,11,5.6
1866-12,1866,12,39.4
1867-01,1867,1,106.7
1867-02,1867,2,34
1867-03,1867,3,84.8
1867-04,1867,4,18.3
1867-05,1867,5,0
1867-06,1867,6,0
1867-07,1867,7,0
1867-08,1867,8,0
1867-09,1867,9,0
1867-10,1867,10,0
1867-11,1867,11,2.3
1867-12,1867,12,34.5
1868-01,1868,1,37.1
1868-02,1868,2,83.3
1868-03,1868,3,10.7
1868-04,1868,4,13.5
1868-05,1868,5,0
1868-06,1868,6,0
1868-07,1868,7,0
1868-08,1868,8,0
1868-09,1868,9,0
1868-10,1868,10,5.1
1868-11,1868,11,10.9
1868-12,1868,12,39.4
1869-01,1869,1,24.9
1869-02,1869,2,100.8
1869-03,1869,3,38.1
1869-04,1869,4,1.3
1869-05,1869,5,0
1869-06,1869,6,0
1869-07,1869,7,0
1869-08,1869,8,0
1869-09,1869,9,0
1869-10,1869,10,5.8
1869-11,1869,11,25.9
1869-12,1869,12,18
1870-01,1870,1,54.1
1870-02,1870,2,51.1
1870-03,1870,3,158.5
1870-04,1870,4,0.3
1870-05,1870,5,0
1870-06,1870,6,0
1870-07,1870,7,0
1870-08,1870,8,0
1870-09,1870,9,0
1870-10,1870,10,0
1870-11,1870,11,7.9
1870-12,1870,12,40.4
1871-01,1871,1,110.7
1871-02,1871,2,58.4
1871-03,1871,3,33
1871-04,1871,4,3.3
1871-05,1871,5,0
1871-06,1871,6,0
1871-07,1871,7,0
1871-08,1871,8,0
1871-09,1871,9,0
1871-10,1871,10,0
1871-11,1871,11,11.4
1871-12,1871,12,36.1
1872-01,1872,1,9.9
1872-02,1872,2,18.5
1872-03,1872,3,41.4
1872-04,1872,4,1.8
1872-05,1872,5,0
1872-06,1872,6,0
1872-07,1872,7,0
1872-08,1872,8,0
1872-09,1872,9,0
1872-10,1872,10,0
1872-11,1872,11,3.3
1872-12,1872,12,96.5
1873-01,1873,1,99.6
1873-02,1873,2,26.4
1873-03,1873,3,64
1873-04,1873,4,0
1873-05,1873,5,0
1873-06,1873,6,0
1873-07,1873,7,0
1873-08,1873,8,0
1873-09,1873,9,0
1873-10,1873,10,0.5
1873-11,1873,11,49.8
1873-12,1873,12,48.8
1874-01,1874,1,31
1874-02,1874,2,48.5
1874-03,1874,3,6.6
1874-04,1874,4,27.9
1874-05,1874,5,0
1874-06,1874,6,0
1874-07,1874,7,0
1874-08,1874,8,0
1874-09,1874,9,0
1874-10,1874,10,0
1874-11,1874,11,29.7
1874-12,1874,12,28.2
1875-01,1875,1,82
1875-02,1875,2,23.1
1875-03,1875,3,76.2
1875-04,1875,4,6.9
1875-05,1875,5,7.9
1875-06,1875,6,0
1875-07,1875,7,0
1875-08,1875,8,0
1875-09,1875,9,0
1875-10,1875,10,9.7
1875-11,1875,11,19.8
1875-12,1875,12,47.5
1876-01,1876,1,8.1
1876-02,1876,2,51.1
1876-03,1876,3,112
1876-04,1876,4,0.8
1876-05,1876,5,0
1876-06,1876,6,0
1876-07,1876,7,0
1876-08,1876,8,0
1876-09,1876,9,0
1876-10,1876,10,0.3
1876-11,1876,11,23.1
1876-12,1876,12,92.7
1877-01,1877,1,34
1877-02,1877,2,7.4
1877-03,1877,3,48.5
1877-04,1877,4,0
1877-05,1877,5,0
1877-06,1877,6,0
1877-07,1877,7,0
1877-08,1877,8,0
1877-09,1877,9,0
1877-10,1877,10,0
1877-11,1877,11,4.1
1877-12,1877,12,0.8
1878-01,1878,1,30.2
1878-02,1878,2,39.1
1878-03,1878,3,2.5
1878-04,1878,4,0
1878-05,1878,5,0
1878-06,1878,6,0
1878-07,1878,7,0
1878-08,1878,8,0
1878-09,1878,9,0
1878-10,1878,10,0
1878-11,1878,11,13.5
1878-12,1878,12,44.2
1879-01,1879,1,29.2
1879-02,1879,2,43.4
1879-03,1879,3,18.5
1879-04,1879,4,4.8
1879-05,1879,5,0
1879-06,1879,6,0
1879-07,1879,7,0
1879-08,1879,8,0
1879-09,1879,9,0
1879-10,1879,10,0.3
1879-11,1879,11,29.5
1879-12,1879,12,48.3
1880-01,1880,1,10.2
1880-02,1880,2,27.7
1880-03,1880,3,31.2
1880-04,1880,4,8.9
1880-05,1880,5,0
1880-06,1880,6,0
1880-07,1880,7,0
1880-08,1880,8,0
1880-09,1880,9,0
1880-10,1880,10,6.9
1880-11,1880,11,10.7
1880-12,1880,12,16.3
1881-01,1881,1,49.5
1881-02,1881,2,21.8
1881-03,1881,3,45.7
1881-04,1881,4,0.5
1881-05,1881,5,0
1881-06,1881,6,0
1881-07,1881,7,0
1881-08,1881,8,0
1881-09,1881,9,0
1881-10,1881,10,0
1881-11,1881,11,17.8
1881-12,1881,12,10.9
1882-01,1882,1,19.8
1882-02,1882,2,13.7
1882-03,1882,3,14.5
1882-04,1882,4,0.5
1882-05,1882,5,0
1882-06,1882,6,0
1882-07,1882,7,0
1882-08,1882,8,0
1882-09,1882,9,0
1882-10,1882,10,0
1882-11,1882,11,19.3
1882-12,1882,12,40.1
1883-01,1883,1,58.4
1883-02,1883,2,46.7
1883-03,1883,3,58.7
1883-04,1883,4,11.7
1883-05,1883,5,0
1883-06,1883,6,0
1883-07,1883,7,0
1883-08,1883,8,0
1883-09,1883,9,0
1883-10,1883,10,0
1883-11,1883,11,9.7
1883-12,1883,12,28.2
1884-01,1884,1,79.8
1884-02,1884,2,41.9
1884-03,1884,3,27.2
1884-04,1884,4,6.9
1884-05,1884,5,0.3
1884-06,1884,6,0
1884-07,1884,7,0
1884-08,1884,8,0
1884-09,1884,9,0
1884-10,1884,10,2
1884-11,1884,11,13.2
1884-12,1884,12,32.8
1885-01,1885,1,47.8
1885-02,1885,2,39.1
1885-03,1885,3,25.7
1885-04,1885,4,21.8
1885-05,1885,5,1.3
1885-06,1885,6,0
1885-07,1885,7,0
1885-08,1885,8,0
1885-09,1885,9,0
1885-10,1885,10,2
1885-11,1885,11,5.8
1885-12,1885,12,23.1
1886-01,1886,1,73.9
1886-02,1886,2,25.4
1886-03,1886,3,15.2
1886-04,1886,4,18
1886-05,1886,5,0
1886-06,1886,6,0
1886-07,1886,7,0
1886-08,1886,8,0
1886-09,1886,9,0
1886-10,1886,10,0
1886-11,1886,11,12.2
1886-12,1886,12,41.9
1887-01,1887,1,62.5
1887-02,1887,2,54.9
1887-03,1887,3,22.9
1887-04,1887,4,0.3
1887-05,1887,5,0
1887-06,1887,6,0
1887-07,1887,7,0
1887-08,1887,8,0
1887-09,1887,9,0
1887-10,1887,10,0.3
1887-11,1887,11,19.3
1887-12,1887,12,37.8
1888-01,1888,1,31.5
1888-02,1888,2,16.8
1888-03,1888,3,22.6
1888-04,1888,4,0.3
1888-05,1888,5,0.3
1888-06,1888,6,0
1888-07,1888,7,0
1888-08,1888,8,0
1888-09,1888,9,0
1888-10,1888,10,0.8
1888-11,1888,11,9.9
1888-12,1888,12,5.8
1889-01,1889,1,53.8
1889-02,1889,2,53.1
1889-03,1889,3,25.1
1889-04,1889,4,4.8
1889-05,1889,5,0
1889-06,1889,6,0
1889-07,1889,7,0
1889-08,1889,8,0
1889-09,1889,9,0
1889-10,1889,10,0.5
1889-11,1889,11,21.6
1889-12,1889,12,9.9
1890-01,1890,1,16
1890-02,1890,2,39.4
1890-03,1890,3,24.6
1890-04,1890,4,0.3
1890-05,1890,5,0
1890-06,1890,6,0
1890-07,1890,7,0
1890-08,1890,8,0
1890-09,1890,9,0
1890-10,1890,10,0
1890-11,1890,11,4.8
1890-12,1890,12,48.5
1891-01,1891,1,30.7
1891-02,1891,2,24.9
1891-03,1891,3,45
1891-04,1891,4,0.3
1891-05,1891,5,0.8
1891-06,1891,6,0
1891-07,1891,7,0
1891-08,1891,8,0
1891-09,1891,9,0
1891-10,1891,10,0
1891-11,1891,11,9.1
1891-12,1891,12,10.7
1892-01,1892,1,34.3
1892-02,1892,2,41.9
1892-03,1892,3,6.1
1892-04,1892,4,0.8
1892-05,1892,5,0
1892-06,1892,6,0
1892-07,1892,7,0
1892-08,1892,8,0
1892-09,1892,9,0
1892-10,1892,10,0
1892-11,1892,11,16
1892-12,1892,12,8.1
1893-01,1893,1,62.5
1893-02,1893,2,73.2
1893-03,1893,3,10.7
1893-04,1893,4,16
1893-05,1893,5,0
1893-06,1893,6,0
1893-07,1893,7,0
1893-08,1893,8,0
1893-09,1893,9,0
1893-10,1893,10,0
1893-11,1893,11,7.6
1893-12,1893,12,47.5
1894-01,1894,1,18
1894-02,1894,2,41.1
1894-03,1894,3,2.5
1894-04,1894,4,18
1894-05,1894,5,0
1894-06,1894,6,0
1894-07,1894,7,0
1894-08,1894,8,0
1894-09,1894,9,0
1894-10,1894,10,0
1894-11,1894,11,10.7
1894-12,1894,12,5.6
1895-01,1895,1,90.9
1895-02,1895,2,10.2
1895-03,1895,3,13.7
1895-04,1895,4,1.5
1895-05,1895,5,0
1895-06,1895,6,0
1895-07,1895,7,0
1895-08,1895,8,0
1895-09,1895,9,0
1895-10,1895,10,4.3
1895-11,1895,11,5.3
1895-12,1895,12,13.2
1896-01,1896,1,52.6
1896-02,1896,2,75.2
1896-03,1896,3,29
1896-04,1896,4,0.8
1896-05,1896,5,0
1896-06,1896,6,0
1896-07,1896,7,0
1896-08,1896,8,0
1896-09,1896,9,0
1896-10,1896,10,4.8
1896-11,1896,11,8.6
1896-12,1896,12,15.2
1897-01,1897,1,28.2
1897-02,1897,2,19.6
1897-03,1897,3,16.3
1897-04,1897,4,10.4
1897-05,1897,5,0
1897-06,1897,6,0
1897-07,1897,7,0
1897-08,1897,8,0
1897-09,1897,9,0
1897-10,1897,10,0
1897-11,1897,11,12.2
1897-12,1897,12,33.8
1898-01,1898,1,31.2
1898-02,1898,2,62.2
1898-03,1898,3,0
1898-04,1898,4,1.3
1898-05,1898,5,0
1898-06,1898,6,0
1898-07,1898,7,0
1898-08,1898,8,0
1898-09,1898,9,0
1898-10,1898,10,0
1898-11,1898,11,39.6
1898-12,1898,12,46.7
1899-01,1899,1,12.7
1899-02,1899,2,14
1899-03,1899,3,37.6
1899-04,1899,4,4.6
1899-05,1899,5,0
1899-06,1899,6,0
1899-07,1899,7,0
1899-08,1899,8,0
1899-09,1899,9,0
1899-10,1899,10,0
1899-11,1899,11,1.8
1899-12,1899,12,10.2
1900-01,1900,1,37.3
1900-02,1900,2,77.9
1900-03,1900,3,46.4
1900-04,1900,4,0
1900-05,1900,5,0
1900-06,1900,6,0
1900-07,1900,7,0
1900-08,1900,8,0
1900-09,1900,9,0
1900-10,1900,10,0
1900-11,1900,11,22.1
1900-12,1900,12,5.6
1901-01,1901,1,42.9
1901-02,1901,2,36.6
1901-03,1901,3,34.5
1901-04,1901,4,22.4
1901-05,1901,5,0
1901-06,1901,6,0
1901-07,1901,7,0
1901-08,1901,8,0
1901-09,1901,9,0
1901-10,1901,10,0
1901-11,1901,11,8.1
1901-12,1901,12,35.1
1902-01,1902,1,64.5
1902-02,1902,2,14.7
1902-03,1902,3,8.9
1902-04,1902,4,0.5
1902-05,1902,5,0
1902-06,1902,6,0
1902-07,1902,7,0
1902-08,1902,8,0
1902-09,1902,9,0
1902-10,1902,10,0
1902-11,1902,11,18.3
1902-12,1902,12,18
1903-01,1903,1,51.8
1903-02,1903,2,33
1903-03,1903,3,0.5
1903-04,1903,4,7.6
1903-05,1903,5,0.3
1903-06,1903,6,0
1903-07,1903,7,0
1903-08,1903,8,0
1903-09,1903,9,0
1903-10,1903,10,3
1903-11,1903,11,6.6
1903-12,1903,12,24.1
1904-01,1904,1,47.5
1904-02,1904,2,48.5
1904-03,1904,3,15.2
1904-04,1904,4,11.9
1904-05,1904,5,0
1904-06,1904,6,0
1904-07,1904,7,0
1904-08,1904,8,0
1904-09,1904,9,0
1904-10,1904,10,1.5
1904-11,1904,11,0.8
1904-12,1904,12,18
1905-01,1905,1,67.3
1905-02,1905,2,34.8
1905-03,1905,3,4.3
1905-04,1905,4,8.9
1905-05,1905,5,0
1905-06,1905,6,0
1905-07,1905,7,0
1905-08,1905,8,0
1905-09,1905,9,0
1905-10,1905,10,0
1905-11,1905,11,7.1
1905-12,1905,12,15.5
1906-01,1906,1,10.9
1906-02,1906,2,9.1
1906-03,1906,3,31.2
1906-04,1906,4,2.8
1906-05,1906,5,0
1906-06,1906,6,0
1906-07,1906,7,0
1906-08,1906,8,0
1906-09,1906,9,0
1906-10,1906,10,7.1
1906-11,1906,11,2
1906-12,1906,12,32.5
1907-01,1907,1,45.7
1907-02,1907,2,18
1907-03,1907,3,8.4
1907-04,1907,4,3
1907-05,1907,5,4.1
1907-06,1907,6,0
1907-07,1907,7,0
1907-08,1907,8,0
1907-09,1907,9,0
1907-10,1907,10,0
1907-11,1907,11,2.3
1907-12,1907,12,50.5
1908-01,1908,1,48.3
1908-02,1908,2,66.3
1908-03,1908,3,15.7
1908-04,1908,4,15.2
1908-05,1908,5,0.3
1908-06,1908,6,0
1908-07,1908,7,0
1908-08,1908,8,0
1908-09,1908,9,0
1908-10,1908,10,0
1908-11,1908,11,9.4
1908-12,1908,12,42.4
1909-01,1909,1,45.2
1909-02,1909,2,39.4
1909-03,1909,3,40.4
1909-04,1909,4,13
1909-05,1909,5,2
1909-06,1909,6,0
1909-07,1909,7,0
1909-08,1909,8,0
1909-09,1909,9,0
1909-10,1909,10,0.3
1909-11,1909,11,5.8
1909-12,1909,12,29.5
1910-01,1910,1,50.5
1910-02,1910,2,61.5
1910-03,1910,3,2
1910-04,1910,4,3.3
1910-05,1910,5,0
1910-06,1910,6,0
1910-07,1910,7,0
1910-08,1910,8,0
1910-09,1910,9,0
1910-10,1910,10,0
1910-11,1910,11,24.4
1910-12,1910,12,38.9
1911-01,1911,1,22.4
1911-02,1911,2,49
1911-03,1911,3,17.3
1911-04,1911,4,3.3
1911-05,1911,5,0.5
1911-06,1911,6,0
1911-07,1911,7,0
1911-08,1911,8,0
1911-09,1911,9,0
1911-10,1911,10,3
1911-11,1911,11,17
1911-12,1911,12,21.1
1912-01,1912,1,52.8
1912-02,1912,2,41.9
1912-03,1912,3,47.2
1912-04,1912,4,10.7
1912-05,1912,5,0.3
1912-06,1912,6,0
1912-07,1912,7,0
1912-08,1912,8,0
1912-09,1912,9,0
1912-10,1912,10,0
1912-11,1912,11,5.6
1912-12,1912,12,16
1913-01,1913,1,29.5
1913-02,1913,2,17.8
1913-03,1913,3,31.5
1913-04,1913,4,0.5
1913-05,1913,5,0
1913-06,1913,6,0
1913-07,1913,7,0
1913-08,1913,8,0
1913-09,1913,9,0
1913-10,1913,10,0
1913-11,1913,11,2
1913-12,1913,12,14.2
1914-01,1914,1,76.7
1914-02,1914,2,32.5
1914-03,1914,3,30
1914-04,1914,4,2.5
1914-05,1914,5,0
1914-06,1914,6,0
1914-07,1914,7,0
1914-08,1914,8,0
1914-09,1914,9,0
1914-10,1914,10,0
1914-11,1914,11,8.4
1914-12,1914,12,38.6
1915-01,1915,1,69.1
1915-02,1915,2,21.8
1915-03,1915,3,18.8
1915-04,1915,4,1.3
1915-05,1915,5,0
1915-06,1915,6,0
1915-07,1915,7,0
1915-08,1915,8,0
1915-09,1915,9,0
1915-10,1915,10,0
1915-11,1915,11,7.4
1915-12,1915,12,44.5
1916-01,1916,1,7.9
1916-02,1916,2,62.7
1916-03,1916,3,47.2
1916-04,1916,4,4.8
1916-05,1916,5,0
1916-06,1916,6,0
1916-07,1916,7,0
1916-08,1916,8,0
1916-09,1916,9,0
1916-10,1916,10,0
1916-11,1916,11,16.3
1916-12,1916,12,32
1917-01,1917,1,45.5
1917-02,1917,2,15.2
1917-03,1917,3,25.9
1917-04,1917,4,5.8
1917-05,1917,5,0
1917-06,1917,6,0
1917-07,1917,7,0
1917-08,1917,8,0
1917-09,1917,9,0
1917-10,1917,10,0.5
1917-11,1917,11,5.3
1917-12,1917,12,58.4
1918-01,1918,1,58.4
1918-02,1918,2,30.5
1918-03,1918,3,26.4
1918-04,1918,4,2
1918-05,1918,5,0
1918-06,1918,6,0
1918-07,1918,7,0
1918-08,1918,8,0
1918-09,1918,9,0
1918-10,1918,10,0
1918-11,1918,11,7.4
1918-12,1918,12,38.1
1919-01,1919,1,10.9
1919-02,1919,2,12.7
1919-03,1919,3,17.3
1919-04,1919,4,6.6
1919-05,1919,5,0
1919-06,1919,6,0
1919-07,1919,7,0
1919-08,1919,8,0
1919-09,1919,9,0
1919-10,1919,10,0
1919-11,1919,11,1
1919-12,1919,12,24.4
1920-01,1920,1,61.5
1920-02,1920,2,39.9
1920-03,1920,3,15
1920-04,1920,4,15
1920-05,1920,5,0
1920-06,1920,6,0
1920-07,1920,7,0
1920-08,1920,8,0
1920-09,1920,9,0
1920-10,1920,10,0.8
1920-11,1920,11,27.7
1920-12,1920,12,29.2
1921-01,1921,1,10.2
1921-02,1921,2,29.5
1921-03,1921,3,2.5
1921-04,1921,4,9.1
1921-05,1921,5,0
1921-06,1921,6,0
1921-07,1921,7,0
1921-08,1921,8,0
1921-09,1921,9,0
1921-10,1921,10,0
1921-11,1921,11,19.1
1921-12,1921,12,17.3
1922-01,1922,1,22.9
1922-02,1922,2,31.8
1922-03,1922,3,29.5
1922-04,1922,4,0.5
1922-05,1922,5,0
1922-06,1922,6,0
1922-07,1922,7,0
1922-08,1922,8,0
1922-09,1922,9,0
1922-10,1922,10,0
1922-11,1922,11,13.5
1922-12,1922,12,30
1923-01,1923,1,72.4
1923-02,1923,2,26.7
1923-03,1923,3,52.1
1923-04,1923,4,6.4
1923-05,1923,5,3.8
1923-06,1923,6,0
1923-07,1923,7,0
1923-08,1923,8,0
1923-09,1923,9,0
1923-10,1923,10,0.3
1923-11,1923,11,5.1
1923-12,1923,12,14
1924-01,1924,1,64.5
1924-02,1924,2,82.3
1924-03,1924,3,6.9
1924-04,1924,4,8.9
1924-05,1924,5,0
1924-06,1924,6,0
1924-07,1924,7,0
