date,year,month,interval,delta
1881-01-01,1881,Jan,1881-1920,-0.31
1881-02-01,1881,Feb,1881-1920,-0.22
1881-03-01,1881,Mar,1881-1920,-0.04
1881-04-01,1881,Apr,1881-1920,0
1881-05-01,1881,May,1881-1920,0.04
1881-06-01,1881,Jun,1881-1920,-0.32
1881-07-01,1881,Jul,1881-1920,0.08
1881-08-01,1881,Aug,1881-1920,-0.04
1881-09-01,1881,Sep,1881-1920,-0.26
1881-10-01,1881,Oct,1881-1920,-0.43
1881-11-01,1881,Nov,1881-1920,-0.36
1881-12-01,1881,Dec,1881-1920,-0.22
1882-01-01,1882,Jan,1881-1920,0.27
1882-02-01,1882,Feb,1881-1920,0.22
1882-03-01,1882,Mar,1881-1920,0.02
1882-04-01,1882,Apr,1881-1920,-0.32
1882-05-01,1882,May,1881-1920,-0.24
1882-06-01,1882,Jun,1881-1920,-0.29
1882-07-01,1882,Jul,1881-1920,-0.27
1882-08-01,1882,Aug,1881-1920,-0.14
1882-09-01,1882,Sep,1881-1920,-0.24
1882-10-01,1882,Oct,1881-1920,-0.52
1882-11-01,1882,Nov,1881-1920,-0.32
1882-12-01,1882,Dec,1881-1920,-0.67
1883-01-01,1883,Jan,1881-1920,-0.57
1883-02-01,1883,Feb,1881-1920,-0.66
1883-03-01,1883,Mar,1881-1920,-0.15
1883-04-01,1883,Apr,1881-1920,-0.29
1883-05-01,1883,May,1881-1920,-0.24
1883-06-01,1883,Jun,1881-1920,-0.12
1883-07-01,1883,Jul,1881-1920,-0.03
1883-08-01,1883,Aug,1881-1920,-0.21
1883-09-01,1883,Sep,1881-1920,-0.31
1883-10-01,1883,Oct,1881-1920,-0.15
1883-11-01,1883,Nov,1881-1920,-0.42
1883-12-01,1883,Dec,1881-1920,-0.14
1884-01-01,1884,Jan,1881-1920,-0.16
1884-02-01,1884,Feb,1881-1920,-0.08
1884-03-01,1884,Mar,1881-1920,-0.62
1884-04-01,1884,Apr,1881-1920,-0.59
1884-05-01,1884,May,1881-1920,-0.36
1884-06-01,1884,Jun,1881-1920,-0.42
1884-07-01,1884,Jul,1881-1920,-0.42
1884-08-01,1884,Aug,1881-1920,-0.49
1884-09-01,1884,Sep,1881-1920,-0.44
1884-10-01,1884,Oct,1881-1920,-0.44
1884-11-01,1884,Nov,1881-1920,-0.57
1884-12-01,1884,Dec,1881-1920,-0.47
1885-01-01,1885,Jan,1881-1920,-1.01
1885-02-01,1885,Feb,1881-1920,-0.45
1885-03-01,1885,Mar,1881-1920,-0.23
1885-04-01,1885,Apr,1881-1920,-0.48
1885-05-01,1885,May,1881-1920,-0.59
1885-06-01,1885,Jun,1881-1920,-0.44
1885-07-01,1885,Jul,1881-1920,-0.34
1885-08-01,1885,Aug,1881-1920,-0.41
1885-09-01,1885,Sep,1881-1920,-0.4
1885-10-01,1885,Oct,1881-1920,-0.37
1885-11-01,1885,Nov,1881-1920,-0.38
1885-12-01,1885,Dec,1881-1920,-0.11
1886-01-01,1886,Jan,1881-1920,-0.74
1886-02-01,1886,Feb,1881-1920,-0.84
1886-03-01,1886,Mar,1881-1920,-0.72
1886-04-01,1886,Apr,1881-1920,-0.37
1886-05-01,1886,May,1881-1920,-0.34
1886-06-01,1886,Jun,1881-1920,-0.37
1886-07-01,1886,Jul,1881-1920,-0.14
1886-08-01,1886,Aug,1881-1920,-0.43
1886-09-01,1886,Sep,1881-1920,-0.33
1886-10-01,1886,Oct,1881-1920,-0.31
1886-11-01,1886,Nov,1881-1920,-0.39
1886-12-01,1886,Dec,1881-1920,-0.22
1887-01-01,1887,Jan,1881-1920,-1.08
1887-02-01,1887,Feb,1881-1920,-0.7
1887-03-01,1887,Mar,1881-1920,-0.44
1887-04-01,1887,Apr,1881-1920,-0.38
1887-05-01,1887,May,1881-1920,-0.25
1887-06-01,1887,Jun,1881-1920,-0.21
1887-07-01,1887,Jul,1881-1920,-0.24
1887-08-01,1887,Aug,1881-1920,-0.54
1887-09-01,1887,Sep,1881-1920,-0.21
1887-10-01,1887,Oct,1881-1920,-0.49
1887-11-01,1887,Nov,1881-1920,-0.27
1887-12-01,1887,Dec,1881-1920,-0.43
1888-01-01,1888,Jan,1881-1920,-0.49
1888-02-01,1888,Feb,1881-1920,-0.61
1888-03-01,1888,Mar,1881-1920,-0.64
1888-04-01,1888,Apr,1881-1920,-0.22
1888-05-01,1888,May,1881-1920,-0.15
1888-06-01,1888,Jun,1881-1920,-0.03
1888-07-01,1888,Jul,1881-1920,0
1888-08-01,1888,Aug,1881-1920,-0.21
1888-09-01,1888,Sep,1881-1920,-0.19
1888-10-01,1888,Oct,1881-1920,-0.04
1888-11-01,1888,Nov,1881-1920,-0.01
1888-12-01,1888,Dec,1881-1920,-0.24
1889-01-01,1889,Jan,1881-1920,-0.28
1889-02-01,1889,Feb,1881-1920,0.29
1889-03-01,1889,Mar,1881-1920,-0.02
1889-04-01,1889,Apr,1881-1920,0.16
1889-05-01,1889,May,1881-1920,-0.04
1889-06-01,1889,Jun,1881-1920,-0.07
1889-07-01,1889,Jul,1881-1920,-0.09
1889-08-01,1889,Aug,1881-1920,-0.21
1889-09-01,1889,Sep,1881-1920,-0.31
1889-10-01,1889,Oct,1881-1920,-0.42
1889-11-01,1889,Nov,1881-1920,-0.62
1889-12-01,1889,Dec,1881-1920,-0.55
1890-01-01,1890,Jan,1881-1920,-0.63
1890-02-01,1890,Feb,1881-1920,-0.57
1890-03-01,1890,Mar,1881-1920,-0.47
1890-04-01,1890,Apr,1881-1920,-0.25
1890-05-01,1890,May,1881-1920,-0.36
1890-06-01,1890,Jun,1881-1920,-0.16
1890-07-01,1890,Jul,1881-1920,-0.23
1890-08-01,1890,Aug,1881-1920,-0.39
1890-09-01,1890,Sep,1881-1920,-0.35
1890-10-01,1890,Oct,1881-1920,-0.1
1890-11-01,1890,Nov,1881-1920,-0.63
1890-12-01,1890,Dec,1881-1920,-0.47
1891-01-01,1891,Jan,1881-1920,-0.47
1891-02-01,1891,Feb,1881-1920,-0.69
1891-03-01,1891,Mar,1881-1920,-0.16
1891-04-01,1891,Apr,1881-1920,-0.36
1891-05-01,1891,May,1881-1920,-0.16
1891-06-01,1891,Jun,1881-1920,-0.13
1891-07-01,1891,Jul,1881-1920,-0.12
1891-08-01,1891,Aug,1881-1920,-0.13
1891-09-01,1891,Sep,1881-1920,-0.08
1891-10-01,1891,Oct,1881-1920,-0.28
1891-11-01,1891,Nov,1881-1920,-0.53
1891-12-01,1891,Dec,1881-1920,-0.04
1892-01-01,1892,Jan,1881-1920,-0.5
1892-02-01,1892,Feb,1881-1920,-0.16
1892-03-01,1892,Mar,1881-1920,-0.67
1892-04-01,1892,Apr,1881-1920,-0.46
1892-05-01,1892,May,1881-1920,-0.24
1892-06-01,1892,Jun,1881-1920,-0.07
1892-07-01,1892,Jul,1881-1920,-0.38
1892-08-01,1892,Aug,1881-1920,-0.33
1892-09-01,1892,Sep,1881-1920,-0.21
1892-10-01,1892,Oct,1881-1920,-0.28
1892-11-01,1892,Nov,1881-1920,-0.83
1892-12-01,1892,Dec,1881-1920,-0.66
1893-01-01,1893,Jan,1881-1920,-1.52
1893-02-01,1893,Feb,1881-1920,-0.98
1893-03-01,1893,Mar,1881-1920,-0.33
1893-04-01,1893,Apr,1881-1920,-0.3
1893-05-01,1893,May,1881-1920,-0.44
1893-06-01,1893,Jun,1881-1920,-0.19
1893-07-01,1893,Jul,1881-1920,-0.14
1893-08-01,1893,Aug,1881-1920,-0.34
1893-09-01,1893,Sep,1881-1920,-0.29
1893-10-01,1893,Oct,1881-1920,-0.29
1893-11-01,1893,Nov,1881-1920,-0.34
1893-12-01,1893,Dec,1881-1920,-0.61
1894-01-01,1894,Jan,1881-1920,-0.92
1894-02-01,1894,Feb,1881-1920,-0.43
1894-03-01,1894,Mar,1881-1920,-0.22
1894-04-01,1894,Apr,1881-1920,-0.55
1894-05-01,1894,May,1881-1920,-0.27
1894-06-01,1894,Jun,1881-1920,-0.41
1894-07-01,1894,Jul,1881-1920,-0.21
1894-08-01,1894,Aug,1881-1920,-0.27
1894-09-01,1894,Sep,1881-1920,-0.33
1894-10-01,1894,Oct,1881-1920,-0.28
1894-11-01,1894,Nov,1881-1920,-0.48
1894-12-01,1894,Dec,1881-1920,-0.36
1895-01-01,1895,Jan,1881-1920,-0.71
1895-02-01,1895,Feb,1881-1920,-0.81
1895-03-01,1895,Mar,1881-1920,-0.51
1895-04-01,1895,Apr,1881-1920,-0.19
1895-05-01,1895,May,1881-1920,-0.3
1895-06-01,1895,Jun,1881-1920,-0.21
1895-07-01,1895,Jul,1881-1920,-0.19
1895-08-01,1895,Aug,1881-1920,-0.28
1895-09-01,1895,Sep,1881-1920,-0.07
1895-10-01,1895,Oct,1881-1920,-0.1
1895-11-01,1895,Nov,1881-1920,-0.14
1895-12-01,1895,Dec,1881-1920,-0.24
1896-01-01,1896,Jan,1881-1920,-0.37
1896-02-01,1896,Feb,1881-1920,-0.19
1896-03-01,1896,Mar,1881-1920,-0.51
1896-04-01,1896,Apr,1881-1920,-0.61
1896-05-01,1896,May,1881-1920,-0.17
1896-06-01,1896,Jun,1881-1920,0.07
1896-07-01,1896,Jul,1881-1920,-0.01
1896-08-01,1896,Aug,1881-1920,-0.12
1896-09-01,1896,Sep,1881-1920,-0.13
1896-10-01,1896,Oct,1881-1920,0.04
1896-11-01,1896,Nov,1881-1920,-0.22
1896-12-01,1896,Dec,1881-1920,-0.22
1897-01-01,1897,Jan,1881-1920,-0.41
1897-02-01,1897,Feb,1881-1920,-0.43
1897-03-01,1897,Mar,1881-1920,-0.41
1897-04-01,1897,Apr,1881-1920,-0.06
1897-05-01,1897,May,1881-1920,0.12
1897-06-01,1897,Jun,1881-1920,-0.07
1897-07-01,1897,Jul,1881-1920,0.03
1897-08-01,1897,Aug,1881-1920,-0.07
1897-09-01,1897,Sep,1881-1920,-0.07
1897-10-01,1897,Oct,1881-1920,-0.15
1897-11-01,1897,Nov,1881-1920,-0.28
1897-12-01,1897,Dec,1881-1920,-0.28
1898-01-01,1898,Jan,1881-1920,0.05
1898-02-01,1898,Feb,1881-1920,-0.46
1898-03-01,1898,Mar,1881-1920,-0.79
1898-04-01,1898,Apr,1881-1920,-0.28
1898-05-01,1898,May,1881-1920,-0.27
1898-06-01,1898,Jun,1881-1920,-0.08
1898-07-01,1898,Jul,1881-1920,-0.11
1898-08-01,1898,Aug,1881-1920,-0.17
1898-09-01,1898,Sep,1881-1920,-0.17
1898-10-01,1898,Oct,1881-1920,-0.37
1898-11-01,1898,Nov,1881-1920,-0.51
1898-12-01,1898,Dec,1881-1920,-0.27
1899-01-01,1899,Jan,1881-1920,-0.13
1899-02-01,1899,Feb,1881-1920,-0.65
1899-03-01,1899,Mar,1881-1920,-0.59
1899-04-01,1899,Apr,1881-1920,-0.24
1899-05-01,1899,May,1881-1920,-0.25
1899-06-01,1899,Jun,1881-1920,-0.36
1899-07-01,1899,Jul,1881-1920,-0.17
1899-08-01,1899,Aug,1881-1920,-0.07
1899-09-01,1899,Sep,1881-1920,-0.06
1899-10-01,1899,Oct,1881-1920,0.04
1899-11-01,1899,Nov,1881-1920,0.36
1899-12-01,1899,Dec,1881-1920,-0.47
1900-01-01,1900,Jan,1881-1920,-0.62
1900-02-01,1900,Feb,1881-1920,-0.15
1900-03-01,1900,Mar,1881-1920,0.05
1900-04-01,1900,Apr,1881-1920,-0.1
1900-05-01,1900,May,1881-1920,-0.04
1900-06-01,1900,Jun,1881-1920,-0.1
1900-07-01,1900,Jul,1881-1920,-0.12
1900-08-01,1900,Aug,1881-1920,-0.09
1900-09-01,1900,Sep,1881-1920,-0.03
1900-10-01,1900,Oct,1881-1920,0.23
1900-11-01,1900,Nov,1881-1920,-0.12
1900-12-01,1900,Dec,1881-1920,-0.03
1901-01-01,1901,Jan,1881-1920,-0.33
1901-02-01,1901,Feb,1881-1920,-0.1
1901-03-01,1901,Mar,1881-1920,0.27
1901-04-01,1901,Apr,1881-1920,0.11
1901-05-01,1901,May,1881-1920,-0.12
1901-06-01,1901,Jun,1881-1920,0
1901-07-01,1901,Jul,1881-1920,0
1901-08-01,1901,Aug,1881-1920,-0.17
1901-09-01,1901,Sep,1881-1920,-0.28
1901-10-01,1901,Oct,1881-1920,-0.33
1901-11-01,1901,Nov,1881-1920,-0.23
1901-12-01,1901,Dec,1881-1920,-0.42
1902-01-01,1902,Jan,1881-1920,-0.18
1902-02-01,1902,Feb,1881-1920,0.01
1902-03-01,1902,Mar,1881-1920,-0.39
1902-04-01,1902,Apr,1881-1920,-0.4
1902-05-01,1902,May,1881-1920,-0.4
1902-06-01,1902,Jun,1881-1920,-0.37
1902-07-01,1902,Jul,1881-1920,-0.34
1902-08-01,1902,Aug,1881-1920,-0.29
1902-09-01,1902,Sep,1881-1920,-0.34
1902-10-01,1902,Oct,1881-1920,-0.31
1902-11-01,1902,Nov,1881-1920,-0.46
1902-12-01,1902,Dec,1881-1920,-0.61
1903-01-01,1903,Jan,1881-1920,-0.23
1903-02-01,1903,Feb,1881-1920,0.11
1903-03-01,1903,Mar,1881-1920,-0.16
1903-04-01,1903,Apr,1881-1920,-0.47
1903-05-01,1903,May,1881-1920,-0.43
1903-06-01,1903,Jun,1881-1920,-0.45
1903-07-01,1903,Jul,1881-1920,-0.45
1903-08-01,1903,Aug,1881-1920,-0.56
1903-09-01,1903,Sep,1881-1920,-0.5
1903-10-01,1903,Oct,1881-1920,-0.5
1903-11-01,1903,Nov,1881-1920,-0.43
1903-12-01,1903,Dec,1881-1920,-0.57
1904-01-01,1904,Jan,1881-1920,-0.78
1904-02-01,1904,Feb,1881-1920,-0.6
1904-03-01,1904,Mar,1881-1920,-0.42
1904-04-01,1904,Apr,1881-1920,-0.51
1904-05-01,1904,May,1881-1920,-0.44
1904-06-01,1904,Jun,1881-1920,-0.49
1904-07-01,1904,Jul,1881-1920,-0.59
1904-08-01,1904,Aug,1881-1920,-0.54
1904-09-01,1904,Sep,1881-1920,-0.64
1904-10-01,1904,Oct,1881-1920,-0.39
1904-11-01,1904,Nov,1881-1920,-0.09
1904-12-01,1904,Dec,1881-1920,-0.35
1905-01-01,1905,Jan,1881-1920,-0.43
1905-02-01,1905,Feb,1881-1920,-0.83
1905-03-01,1905,Mar,1881-1920,-0.24
1905-04-01,1905,Apr,1881-1920,-0.46
1905-05-01,1905,May,1881-1920,-0.3
1905-06-01,1905,Jun,1881-1920,-0.28
1905-07-01,1905,Jul,1881-1920,-0.22
1905-08-01,1905,Aug,1881-1920,-0.24
1905-09-01,1905,Sep,1881-1920,-0.2
1905-10-01,1905,Oct,1881-1920,-0.27
1905-11-01,1905,Nov,1881-1920,0.08
1905-12-01,1905,Dec,1881-1920,-0.18
1906-01-01,1906,Jan,1881-1920,-0.56
1906-02-01,1906,Feb,1881-1920,-0.54
1906-03-01,1906,Mar,1881-1920,-0.21
1906-04-01,1906,Apr,1881-1920,0.03
1906-05-01,1906,May,1881-1920,-0.25
1906-06-01,1906,Jun,1881-1920,-0.11
1906-07-01,1906,Jul,1881-1920,-0.27
1906-08-01,1906,Aug,1881-1920,-0.17
1906-09-01,1906,Sep,1881-1920,-0.25
1906-10-01,1906,Oct,1881-1920,-0.18
1906-11-01,1906,Nov,1881-1920,-0.41
1906-12-01,1906,Dec,1881-1920,0.02
1907-01-01,1907,Jan,1881-1920,-0.59
1907-02-01,1907,Feb,1881-1920,-0.73
1907-03-01,1907,Mar,1881-1920,-0.31
1907-04-01,1907,Apr,1881-1920,-0.46
1907-05-01,1907,May,1881-1920,-0.59
1907-06-01,1907,Jun,1881-1920,-0.52
1907-07-01,1907,Jul,1881-1920,-0.41
1907-08-01,1907,Aug,1881-1920,-0.39
1907-09-01,1907,Sep,1881-1920,-0.41
1907-10-01,1907,Oct,1881-1920,-0.2
1907-11-01,1907,Nov,1881-1920,-0.56
1907-12-01,1907,Dec,1881-1920,-0.58
1908-01-01,1908,Jan,1881-1920,-0.55
1908-02-01,1908,Feb,1881-1920,-0.28
1908-03-01,1908,Mar,1881-1920,-0.71
1908-04-01,1908,Apr,1881-1920,-0.49
1908-05-01,1908,May,1881-1920,-0.3
1908-06-01,1908,Jun,1881-1920,-0.31
1908-07-01,1908,Jul,1881-1920,-0.36
1908-08-01,1908,Aug,1881-1920,-0.57
1908-09-01,1908,Sep,1881-1920,-0.32
1908-10-01,1908,Oct,1881-1920,-0.46
1908-11-01,1908,Nov,1881-1920,-0.63
1908-12-01,1908,Dec,1881-1920,-0.56
1909-01-01,1909,Jan,1881-1920,-0.94
1909-02-01,1909,Feb,1881-1920,-0.46
1909-03-01,1909,Mar,1881-1920,-0.68
1909-04-01,1909,Apr,1881-1920,-0.66
1909-05-01,1909,May,1881-1920,-0.5
1909-06-01,1909,Jun,1881-1920,-0.52
1909-07-01,1909,Jul,1881-1920,-0.45
1909-08-01,1909,Aug,1881-1920,-0.35
1909-09-01,1909,Sep,1881-1920,-0.38
1909-10-01,1909,Oct,1881-1920,-0.34
1909-11-01,1909,Nov,1881-1920,-0.12
1909-12-01,1909,Dec,1881-1920,-0.58
1910-01-01,1910,Jan,1881-1920,-0.35
1910-02-01,1910,Feb,1881-1920,-0.4
1910-03-01,1910,Mar,1881-1920,-0.51
1910-04-01,1910,Apr,1881-1920,-0.42
1910-05-01,1910,May,1881-1920,-0.31
1910-06-01,1910,Jun,1881-1920,-0.47
1910-07-01,1910,Jul,1881-1920,-0.39
1910-08-01,1910,Aug,1881-1920,-0.41
1910-09-01,1910,Sep,1881-1920,-0.44
1910-10-01,1910,Oct,1881-1920,-0.32
1910-11-01,1910,Nov,1881-1920,-0.59
1910-12-01,1910,Dec,1881-1920,-0.82
1911-01-01,1911,Jan,1881-1920,-0.71
1911-02-01,1911,Feb,1881-1920,-0.59
1911-03-01,1911,Mar,1881-1920,-0.65
1911-04-01,1911,Apr,1881-1920,-0.46
1911-05-01,1911,May,1881-1920,-0.45
1911-06-01,1911,Jun,1881-1920,-0.34
1911-07-01,1911,Jul,1881-1920,-0.37
1911-08-01,1911,Aug,1881-1920,-0.44
1911-09-01,1911,Sep,1881-1920,-0.38
1911-10-01,1911,Oct,1881-1920,-0.2
1911-11-01,1911,Nov,1881-1920,-0.2
1911-12-01,1911,Dec,1881-1920,-0.3
1912-01-01,1912,Jan,1881-1920,-0.35
1912-02-01,1912,Feb,1881-1920,-0.17
1912-03-01,1912,Mar,1881-1920,-0.61
1912-04-01,1912,Apr,1881-1920,-0.16
1912-05-01,1912,May,1881-1920,-0.12
1912-06-01,1912,Jun,1881-1920,-0.14
1912-07-01,1912,Jul,1881-1920,-0.52
1912-08-01,1912,Aug,1881-1920,-0.77
1912-09-01,1912,Sep,1881-1920,-0.81
1912-10-01,1912,Oct,1881-1920,-0.85
1912-11-01,1912,Nov,1881-1920,-0.51
1912-12-01,1912,Dec,1881-1920,-0.57
1913-01-01,1913,Jan,1881-1920,-0.57
1913-02-01,1913,Feb,1881-1920,-0.65
1913-03-01,1913,Mar,1881-1920,-0.48
1913-04-01,1913,Apr,1881-1920,-0.51
1913-05-01,1913,May,1881-1920,-0.55
1913-06-01,1913,Jun,1881-1920,-0.5
1913-07-01,1913,Jul,1881-1920,-0.52
1913-08-01,1913,Aug,1881-1920,-0.47
1913-09-01,1913,Sep,1881-1920,-0.43
1913-10-01,1913,Oct,1881-1920,-0.4
1913-11-01,1913,Nov,1881-1920,-0.15
1913-12-01,1913,Dec,1881-1920,0.1
1914-01-01,1914,Jan,1881-1920,0.17
1914-02-01,1914,Feb,1881-1920,-0.11
1914-03-01,1914,Mar,1881-1920,-0.36
1914-04-01,1914,Apr,1881-1920,-0.39
1914-05-01,1914,May,1881-1920,-0.19
1914-06-01,1914,Jun,1881-1920,-0.23
1914-07-01,1914,Jul,1881-1920,-0.34
1914-08-01,1914,Aug,1881-1920,-0.28
1914-09-01,1914,Sep,1881-1920,-0.3
1914-10-01,1914,Oct,1881-1920,-0.01
1914-11-01,1914,Nov,1881-1920,-0.22
1914-12-01,1914,Dec,1881-1920,-0.06
1915-01-01,1915,Jan,1881-1920,-0.27
1915-02-01,1915,Feb,1881-1920,-0.09
1915-03-01,1915,Mar,1881-1920,-0.24
1915-04-01,1915,Apr,1881-1920,0.07
1915-05-01,1915,May,1881-1920,-0.02
1915-06-01,1915,Jun,1881-1920,-0.13
1915-07-01,1915,Jul,1881-1920,-0.09
1915-08-01,1915,Aug,1881-1920,-0.16
1915-09-01,1915,Sep,1881-1920,-0.22
1915-10-01,1915,Oct,1881-1920,-0.28
1915-11-01,1915,Nov,1881-1920,-0.04
